Name,Gender_Age,Place,Pace,Official_Time,Gender,Age,Time,Year
"
                                Geoffrey Mutai
                            ",M32,1,04:54,02:08:24,M,32,128.4,2013
"
                                Tsegaye Kebede
                            ",M26,2,04:56,02:09:15,M,26,129.25,2013
"
                                Lusapho April
                            ",M31,3,04:57,02:09:45,M,31,129.75,2013
"
                                Julius Arile
                            ",M30,4,04:58,02:10:03,M,30,130.05,2013
"
                                Stanley Biwott
                            ",M27,5,05:00,02:10:41,M,27,130.6833333,2013
"
                                Masato Imai
                            ",M29,6,05:00,02:10:45,M,29,130.75,2013
"
                                Jackson Kiprop
                            ",M27,7,05:00,02:10:56,M,27,130.9333333,2013
"
                                Peter Cheruiyot Kirui
                            ",M25,8,05:01,02:11:23,M,25,131.3833333,2013
"
                                Wesley Korir
                            ",M30,9,05:02,02:11:34,M,30,131.5666667,2013
"
                                Daniele Meucci
                            ",M28,10,05:03,02:12:03,M,28,132.05,2013
"
                                Yuki Kawauchi
                            ",M26,11,05:04,02:12:29,M,26,132.4833333,2013
"
                                Stephen Kiprotich
                            ",M24,12,05:05,02:13:05,M,24,133.0833333,2013
"
                                Ryan Vail
                            ",M27,13,05:06,02:13:23,M,27,133.3833333,2013
"
                                Jeffrey Eggleston
                            ",M29,14,05:13,02:16:35,M,29,136.5833333,2013
"
                                Bob Tahri
                            ",M34,15,05:17,02:18:16,M,34,138.2666667,2013
"
                                Khalid En Guady
                            ",M39,16,05:26,02:22:03,M,39,142.05,2013
"
                                Radoslaw Dudycz
                            ",M39,17,05:26,02:22:07,M,39,142.1166667,2013
"
                                Jovadir Acedo
                            ",M30,18,05:27,02:22:34,M,30,142.5666667,2013
"
                                Tesfaye Assefa Dube
                            ",M29,19,05:27,02:22:38,M,29,142.6333333,2013
"
                                Christian Thompson
                            ",M25,20,05:27,02:22:48,M,25,142.8,2013
"
                                Danilo Goffi
                            ",M40,21,05:29,02:23:22,M,40,143.3666667,2013
"
                                Michael Cassidy
                            ",M28,22,05:29,02:23:46,M,28,143.7666667,2013
"
                                Meb Keflezighi
                            ",M38,23,05:29,02:23:47,M,38,143.7833333,2013
"
                                Kevin Pool
                            ",M30,24,05:30,02:24:03,M,30,144.05,2013
"
                                Priscah Jeptoo
                            ",F29,25,05:33,02:25:07,F,29,145.1166667,2013
"
                                Ryan Johns
                            ",M26,26,05:33,02:25:08,M,26,145.1333333,2013
"
                                Cesar Martins
                            ",M42,27,05:33,02:25:18,M,42,145.3,2013
"
                                Buzunesh Deba
                            ",F26,28,05:34,02:25:56,F,26,145.9333333,2013
"
                                Paolo Natali
                            ",M33,29,05:35,02:26:00,M,33,146,2013
"
                                Gian Luca Borghesi
                            ",M35,30,05:35,02:26:12,M,35,146.2,2013
"
                                Jerry Faulkner
                            ",M32,31,05:36,02:26:42,M,32,146.7,2013
"
                                Jelena Prokopcuka
                            ",F37,32,05:39,02:27:47,F,37,147.7833333,2013
"
                                Holger Freudenberger
                            ",M36,33,05:39,02:27:47,M,36,147.7833333,2013
"
                                Christelle Daunay
                            ",F38,34,05:40,02:28:14,F,38,148.2333333,2013
"
                                Chema Martinez
                            ",M42,35,05:40,02:28:21,M,42,148.35,2013
"
                                Valeria Straneo
                            ",F37,36,05:40,02:28:22,F,37,148.3666667,2013
"
                                Kim Smith
                            ",F31,37,05:41,02:28:49,F,31,148.8166667,2013
"
                                Henrik Lofas
                            ",M30,38,05:41,02:28:55,M,30,148.9166667,2013
"
                                Sabrina Mockenhaupt
                            ",F32,39,05:42,02:29:10,F,32,149.1666667,2013
"
                                Tigist Tufa Demisse
                            ",F26,40,05:42,02:29:24,F,26,149.4,2013
"
                                Harbert Okuti
                            ",M28,41,05:43,02:29:39,M,28,149.65,2013
"
                                Edna Kiplagat
                            ",F34,42,05:44,02:30:04,F,34,150.0666667,2013
"
                                Diane Nukuri-Johnson
                            ",F28,43,05:44,02:30:09,F,28,150.15,2013
"
                                Guor Maker
                            ",M29,44,05:44,02:30:13,M,29,150.2166667,2013
"
                                Neel Tarneja
                            ",M31,45,05:45,02:30:25,M,31,150.4166667,2013
"
                                Francesco Duca
                            ",M40,46,05:45,02:30:34,M,40,150.5666667,2013
"
                                Cesar Lizano
                            ",M31,47,05:45,02:30:36,M,31,150.6,2013
"
                                Kevin Herd
                            ",M42,48,05:47,02:31:36,M,42,151.6,2013
"
                                Demesse Tefera
                            ",M30,49,05:48,02:31:43,M,30,151.7166667,2013
"
                                Risa Shigetomo
                            ",F26,50,05:48,02:31:54,F,26,151.9,2013
"
                                Graham Peck
                            ",M24,51,05:49,02:32:08,M,24,152.1333333,2013
"
                                Daniel Atienza
                            ",M39,52,05:49,02:32:25,M,39,152.4166667,2013
"
                                Joseph Darda
                            ",M26,53,05:49,02:32:27,M,26,152.45,2013
"
                                Elias Sansar
                            ",M33,54,05:50,02:32:54,M,33,152.9,2013
"
                                Piergiorgio Conti
                            ",M43,55,05:51,02:33:17,M,43,153.2833333,2013
"
                                Toby Spencer
                            ",M23,56,05:52,02:33:34,M,23,153.5666667,2013
"
                                Frederic Ruberti
                            ",M39,57,05:53,02:34:09,M,39,154.15,2013
"
                                Oscar Martin Perez
                            ",M31,58,05:54,02:34:34,M,31,154.5666667,2013
"
                                Phillip Falk
                            ",M29,59,05:55,02:34:44,M,29,154.7333333,2013
"
                                Lisa Stublic
                            ",F29,60,05:55,02:34:49,F,29,154.8166667,2013
"
                                Philip Shaw
                            ",M28,61,05:55,02:34:52,M,28,154.8666667,2013
"
                                Steve Bovay
                            ",M28,62,05:55,02:34:56,M,28,154.9333333,2013
"
                                Adriana Nelson
                            ",F33,63,05:55,02:35:05,F,33,155.0833333,2013
"
                                Eugene Daly
                            ",M34,64,05:56,02:35:12,M,34,155.2,2013
"
                                Niklas Sjoblom
                            ",M29,65,05:56,02:35:18,M,29,155.3,2013
"
                                Bryan Kovalsky
                            ",M34,66,05:56,02:35:19,M,34,155.3166667,2013
"
                                Daniel Davies
                            ",M25,67,05:56,02:35:26,M,25,155.4333333,2013
"
                                Tom Clifford
                            ",M30,68,05:56,02:35:29,M,30,155.4833333,2013
"
                                Hugh Parker
                            ",M23,69,05:57,02:35:35,M,23,155.5833333,2013
"
                                Maxime Chevee
                            ",M22,70,05:57,02:35:43,M,22,155.7166667,2013
"
                                Mike Hensley
                            ",M27,71,05:57,02:35:50,M,27,155.8333333,2013
"
                                Robert Dennis
                            ",M27,72,05:58,02:36:01,M,27,156.0166667,2013
"
                                Brent Frissora
                            ",M29,73,05:58,02:36:08,M,29,156.1333333,2013
"
                                Steven Underwood
                            ",M26,74,05:58,02:36:12,M,26,156.2,2013
"
                                Brad Chvatal
                            ",M42,75,05:58,02:36:17,M,42,156.2833333,2013
"
                                Brendan Lunty
                            ",M35,76,05:58,02:36:17,M,35,156.2833333,2013
"
                                Greg Cass
                            ",M29,77,05:59,02:36:33,M,29,156.55,2013
"
                                Martin Rindahl
                            ",M50,78,06:00,02:36:57,M,50,156.95,2013
"
                                Hermann Achmüller
                            ",M42,79,06:01,02:37:28,M,42,157.4666667,2013
"
                                Emiliano Garcia
                            ",M30,80,06:01,02:37:45,M,30,157.75,2013
"
                                Nuno Romao
                            ",M40,81,06:02,02:37:52,M,40,157.8666667,2013
"
                                Daniel Norberg
                            ",M35,82,06:02,02:38:05,M,35,158.0833333,2013
"
                                Firehiwot Dado
                            ",F29,83,06:02,02:38:06,F,29,158.1,2013
"
                                Julio Sauce
                            ",M41,84,06:02,02:38:06,M,41,158.1,2013
"
                                Cyril Measson
                            ",M39,85,06:03,02:38:37,M,39,158.6166667,2013
"
                                David Metzger
                            ",M27,86,06:04,02:38:40,M,27,158.6666667,2013
"
                                Thomas Noel
                            ",M24,87,06:04,02:39:03,M,24,159.05,2013
"
                                Odd-bjorn Hjelmeset
                            ",M41,88,06:05,02:39:12,M,41,159.2,2013
