Year,City,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2011,New York City,2011-11-06,12.2,3.8,8.2,12.2,3.2,7.8,0.4,58.3,0,0,0,,,,,13.9,221.9,1031.7,4.8,16,148.8,13.3,6,,2011-11-06 6:31,2011-11-06 16:46,0.42,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
2013,New York City,2013-11-03,13.3,3.2,8.4,13.3,0,6.4,-0.8,53,0,0,0,,,,38.9,22.4,345.7,1019.2,57.1,16,115.3,10.4,5,,2013-11-03 6:28,2013-11-03 16:49,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
2014,New York City,2014-11-02,8.3,5.2,6.7,5.3,0.8,2.9,-3.1,51.4,0.22,100,4.17,rain,,,64,46.4,336.2,1011.4,57.2,16,115.3,10.3,5,,2014-11-02 6:27,2014-11-02 16:51,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KLGA,KNYC,72503014732"
2015,New York City,2015-11-01,18,12.1,15,18,12.1,15,7.9,62.7,0,0,0,,0,0,57.6,14.8,225.5,1013.9,57.2,16,,,,,2015-11-01 6:26,2015-11-01 16:52,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
2016,New York City,2016-11-06,14.2,8,12.1,14.2,5.7,11.7,1.9,50.4,0,0,0,,0,0,38.9,23.8,348.3,1023.1,21.5,16,,,,,2016-11-06 6:32,2016-11-06 16:46,0.18,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
2017,New York City,2017-11-05,16.7,12.1,14.5,16.7,12.1,14.5,12.1,85.6,0.511,100,25,rain,0,0,,21.8,47.6,1022.7,39.3,14.1,,,,,2017-11-05 6:31,2017-11-05 16:47,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
2018,New York City,2018-11-04,15.5,7.8,10.9,15.5,5.8,10.3,2.4,56.8,0.23,100,4.17,rain,0,0,79.6,18.4,281.8,1031.9,0.6,15.9,155.4,14,6,,2018-11-04 6:29,2018-11-04 16:48,0.94,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,C1735,KNYC,F1417,72503014732"
2019,New York City,2019-11-03,13.7,6.7,9.9,13.7,4.5,9,0.7,53.3,0,0,0,,0,0,81.4,18,271,1020.1,14.4,16,232.3,10.2,6,,2019-11-03 6:28,2019-11-03 16:50,0.2,Clear,Clear conditions throughout the day.,clear-day,"WALN4,72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
2021,New York City,2021-11-07,13.7,8.6,11.1,13.7,7.6,10.9,1.7,53.4,0.23,100,4.17,rain,0,0,85.1,22.6,17.9,1022.5,1.2,16,223.3,20,6,,2021-11-07 6:33,2021-11-07 16:45,0.05,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,E5816,KJRB,D2180,KNYC,F1417,72503014732"
2022,New York City,2022-11-06,23.2,18.7,20.7,23.2,18.7,20.7,16.3,76.1,0.08,100,4.17,rain,0,0,40,14.8,173.1,1022.4,74.3,16,176.3,15.3,3,10,2022-11-06 6:32,2022-11-06 16:46,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,KLGA,E5816,D2180,KNYC,F1417,72503014732"
