Male,19 and under,20-29,30-39,40-49,50-59,60 and older,,Male,19 and under,20-29,30-39,40-49,50-59,60 and older
temp,No,Yes,Yes,Yes,Yes,Yes,,temp,,0.09785906202,0.05083937161,0.06687363942,0.1232207191,0.2229157565
humi,No,No,No,No,Yes,No,,humi,,,,,0.04281059594,
wind speed,No,Yes,Yes,Yes,Yes,No,,wind speed,,0.06343036162,0.07551407756,0.07659532279,0.04214042616,
pressure,No,Yes,Yes,Yes,Yes,No,,pressure,,-0.09671081193,-0.1084839097,-0.1133272512,-0.08024558348,
,,,,,,,,,,,,,,
Female,19 and under,20-29,30-39,40-49,50-59,60 and older,,Female,19 and under,20-29,30-39,40-49,50-59,60 and older
temp,No,Yes,Yes,Yes,Yes,Yes,,temp,,0.1273229695,0.1041191717,0.1949782826,0.187107988,
humi,No,No,No,Yes,No,No,,humi,,,,0.06962628608,,
wind speed,No,No,Yes,No,No,Yes,,wind speed,,,0.04645145025,,,
pressure,No,Yes,Yes,No,Yes,Yes,,pressure,,-0.08945294203,-0.09935775355,,-0.1262887883,
,,,,,,,,,,,,,,
,,,,,,,,Pearson's correlation coefficient,,,,,,
,,,,,,,,,,,,r value,,
Male,19 and under,20-29,30-39,40-49,50-59,60 and older,,,,,,posive,negative,
temp,0.710462996,1.58E-15,1.64E-10,1.00E-15,1.61E-19,2.05E-07,,,,,small,0.1<r<0.3,-0.1>r>-0.3,
humi,0.100265689,0.113166293,0.666015403,0.354041084,0.00175343,0.076648711,,,,,mediun,0.3<r<0.5,-0.3>r>-0.5,
wind speed,0.30314405,2.48E-07,2.06E-21,2.63E-20,0.002069508,0.721737483,,,,,large,0.5<r<1,-0.5>r>-1,
pressure,0.236780093,3.36E-15,1.51E-42,1.25E-42,4.30E-09,0.196887827,,All age,Male,Female,,,,
Female,19 and under,20-29,30-39,40-49,50-59,60 and older,,temp,Yes,Yes,,,,
temp,0.748360369,1.23E-10,7.50E-10,2.16E-20,0.000116851,0.03441623,,humi,Yes,No,,,,
humi,0.712969028,0.849033835,0.629752559,0.001049971,0.78061353,0.184352606,,wind speed,Yes,Yes,,,,
wind speed,0.437407338,0.119899999,0.006144879,0.214446939,0.679574671,0.017287148,,pressure,Yes,Yes,,,,
pressure,0.180581963,6.41E-06,4.31E-09,0.066662413,0.009661554,0.038558707,,,,,,,,
,,,,,,,,Pearson's correlation coefficient,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,All age,Male,Female,,,,
,,,,,,,,temp,0.0893222224,0.1392596046,,,,
Quantity,19 and under,20-29,30-39,40-49,50-59,60 and older,,humi,0.01277780119,No,,,,
Male,74,6605,15790,14491,5340,532,,wind speed,0.06683674254,0.02258994615,,,,
Femal,7,2537,3478,2212,419,23,,pressure,-0.1021191635,-0.08724974139,,,,
,,,,,,,,,,,,,,
Pearson's correlation coefficient,,,,,,,,,,,,,,
